,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_1/celebaHQ128/wrn_28_10_4/fgsm/InputMFS/LR/log.txt,96.1,91.5,90.0,93.33,91.65,6.67,99.28,6.62
./data/detection/run_1/celebaHQ128/wrn_28_10_4/bim/InputMFS/LR/log.txt,95.65,90.5,88.6,93.0,90.73,7.0,100.0,7.0
./data/detection/run_1/celebaHQ128/wrn_28_10_4/pgd/InputMFS/LR/log.txt,88.26,80.17,78.4,83.33,80.78,16.67,100.0,16.67
./data/detection/run_1/celebaHQ128/wrn_28_10_4/std/8_255/InputMFS/LR/log.txt,98.08,93.33,90.4,97.0,93.57,3.0,100.0,3.0
./data/detection/run_1/celebaHQ128/wrn_28_10_4/df/InputMFS/LR/log.txt,50.6,50.33,50.3,55.33,52.7,44.67,100.0,44.67
./data/detection/run_1/celebaHQ128/wrn_28_10_4/cw/InputMFS/LR/log.txt,50.66,50.17,50.2,51.67,50.9,48.33,100.0,48.33
./data/detection/run_1/celebaHQ128/wrn_28_10_4/fgsm/InputMFS/RF/log.txt,96.9,88.5,81.8,99.0,89.59,1.0,99.28,0.99
./data/detection/run_1/celebaHQ128/wrn_28_10_4/bim/InputMFS/RF/log.txt,96.81,86.17,79.9,96.67,87.48,3.33,100.0,3.33
./data/detection/run_1/celebaHQ128/wrn_28_10_4/pgd/InputMFS/RF/log.txt,91.13,81.17,75.6,92.0,83.01,8.0,100.0,8.0
./data/detection/run_1/celebaHQ128/wrn_28_10_4/std/8_255/InputMFS/RF/log.txt,99.64,92.33,86.7,100.0,92.88,0.0,100.0,0.0
./data/detection/run_1/celebaHQ128/wrn_28_10_4/df/InputMFS/RF/log.txt,49.53,50.0,50.0,42.33,45.85,57.67,100.0,57.67
./data/detection/run_1/celebaHQ128/wrn_28_10_4/cw/InputMFS/RF/log.txt,51.24,52.0,52.2,47.0,49.47,53.0,100.0,53.0
./data/detection/run_1/celebaHQ128/wrn_28_10_4/fgsm/LayerMFS/LR/log.txt,99.93,98.33,97.4,99.33,98.35,0.67,99.28,0.67
./data/detection/run_1/celebaHQ128/wrn_28_10_4/bim/LayerMFS/LR/log.txt,99.83,98.67,98.3,99.0,98.67,1.0,100.0,1.0
./data/detection/run_1/celebaHQ128/wrn_28_10_4/pgd/LayerMFS/LR/log.txt,99.52,96.5,96.3,96.67,96.51,3.33,100.0,3.33
./data/detection/run_1/celebaHQ128/wrn_28_10_4/std/8_255/LayerMFS/LR/log.txt,99.89,98.67,98.7,98.67,98.67,1.33,100.0,1.33
./data/detection/run_1/celebaHQ128/wrn_28_10_4/df/LayerMFS/LR/log.txt,53.68,52.17,52.0,55.33,53.63,44.67,100.0,44.67
./data/detection/run_1/celebaHQ128/wrn_28_10_4/cw/LayerMFS/LR/log.txt,54.22,53.5,53.4,54.67,54.04,45.33,100.0,45.33
./data/detection/run_1/celebaHQ128/wrn_28_10_4/fgsm/LayerMFS/RF/log.txt,99.99,99.67,99.3,100.0,99.67,0.0,99.28,0.0
./data/detection/run_1/celebaHQ128/wrn_28_10_4/bim/LayerMFS/RF/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,100.0,0.0
./data/detection/run_1/celebaHQ128/wrn_28_10_4/pgd/LayerMFS/RF/log.txt,100.0,99.5,99.0,100.0,99.5,0.0,100.0,0.0
./data/detection/run_1/celebaHQ128/wrn_28_10_4/std/8_255/LayerMFS/RF/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0
./data/detection/run_1/celebaHQ128/wrn_28_10_4/df/LayerMFS/RF/log.txt,51.93,50.83,50.9,49.67,50.25,50.33,100.0,50.33
./data/detection/run_1/celebaHQ128/wrn_28_10_4/cw/LayerMFS/RF/log.txt,50.98,49.5,49.5,45.0,47.12,55.0,100.0,55.0
