,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_1/celebaHQ64/wrn_28_10_4/fgsm/InputMFS/LR/log.txt,88.04,81.67,79.5,85.33,82.32,14.67,100.0,14.67
./data/detection/run_1/celebaHQ64/wrn_28_10_4/bim/InputMFS/LR/log.txt,88.44,82.0,80.0,85.33,82.58,14.67,100.0,14.67
./data/detection/run_1/celebaHQ64/wrn_28_10_4/pgd/InputMFS/LR/log.txt,78.99,71.83,69.2,78.67,73.63,21.33,100.0,21.33
./data/detection/run_1/celebaHQ64/wrn_28_10_4/std/8_255/InputMFS/LR/log.txt,91.47,84.0,82.9,85.67,84.26,14.33,100.0,14.33
./data/detection/run_1/celebaHQ64/wrn_28_10_4/df/InputMFS/LR/log.txt,51.51,50.67,50.7,47.67,49.14,52.33,100.0,52.33
./data/detection/run_1/celebaHQ64/wrn_28_10_4/cw/InputMFS/LR/log.txt,50.6,50.33,50.3,48.67,49.49,51.33,100.0,51.33
./data/detection/run_1/celebaHQ64/wrn_28_10_4/fgsm/InputMFS/RF/log.txt,85.94,77.67,71.7,91.33,80.35,8.67,100.0,8.67
./data/detection/run_1/celebaHQ64/wrn_28_10_4/bim/InputMFS/RF/log.txt,86.32,76.0,71.1,87.67,78.51,12.33,100.0,12.33
./data/detection/run_1/celebaHQ64/wrn_28_10_4/pgd/InputMFS/RF/log.txt,78.1,70.5,66.0,84.67,74.16,15.33,100.0,15.33
./data/detection/run_1/celebaHQ64/wrn_28_10_4/std/8_255/InputMFS/RF/log.txt,92.87,82.83,76.7,94.33,84.6,5.67,100.0,5.67
./data/detection/run_1/celebaHQ64/wrn_28_10_4/df/InputMFS/RF/log.txt,50.97,50.5,50.5,51.0,50.75,49.0,100.0,49.0
./data/detection/run_1/celebaHQ64/wrn_28_10_4/cw/InputMFS/RF/log.txt,51.25,51.67,51.6,53.0,52.3,47.0,100.0,47.0
./data/detection/run_1/celebaHQ64/wrn_28_10_4/fgsm/LayerMFS/LR/log.txt,99.68,97.83,98.0,97.67,97.83,2.33,100.0,2.33
./data/detection/run_1/celebaHQ64/wrn_28_10_4/bim/LayerMFS/LR/log.txt,99.28,96.67,97.0,96.33,96.66,3.67,100.0,3.67
./data/detection/run_1/celebaHQ64/wrn_28_10_4/pgd/LayerMFS/LR/log.txt,98.57,94.5,94.6,94.33,94.49,5.67,100.0,5.67
./data/detection/run_1/celebaHQ64/wrn_28_10_4/std/8_255/LayerMFS/LR/log.txt,99.63,97.17,97.0,97.33,97.17,2.67,100.0,2.67
./data/detection/run_1/celebaHQ64/wrn_28_10_4/df/LayerMFS/LR/log.txt,59.85,56.33,57.4,49.0,52.88,51.0,100.0,51.0
./data/detection/run_1/celebaHQ64/wrn_28_10_4/cw/LayerMFS/LR/log.txt,57.99,56.17,56.8,51.67,54.1,48.33,100.0,48.33
./data/detection/run_1/celebaHQ64/wrn_28_10_4/fgsm/LayerMFS/RF/log.txt,99.96,98.5,98.0,99.0,98.51,1.0,100.0,1.0
./data/detection/run_1/celebaHQ64/wrn_28_10_4/bim/LayerMFS/RF/log.txt,99.96,99.0,99.0,99.0,99.0,1.0,100.0,1.0
./data/detection/run_1/celebaHQ64/wrn_28_10_4/pgd/LayerMFS/RF/log.txt,99.8,98.33,98.3,98.33,98.33,1.67,100.0,1.67
./data/detection/run_1/celebaHQ64/wrn_28_10_4/std/8_255/LayerMFS/RF/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0
./data/detection/run_1/celebaHQ64/wrn_28_10_4/df/LayerMFS/RF/log.txt,55.62,53.0,53.0,52.33,52.68,47.67,100.0,47.67
./data/detection/run_1/celebaHQ64/wrn_28_10_4/cw/LayerMFS/RF/log.txt,56.73,55.83,56.6,50.33,53.26,49.67,100.0,49.67
 
