,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_3/celebaHQ128/wrn_28_10_4/fgsm/InputMFS/LR/log.txt,95.6,89.83,89.4,90.33,89.88,9.67,99.28,9.6
./data/detection/run_3/celebaHQ128/wrn_28_10_4/bim/InputMFS/LR/log.txt,95.3,88.83,86.3,92.33,89.21,7.67,100.0,7.67
./data/detection/run_3/celebaHQ128/wrn_28_10_4/pgd/InputMFS/LR/log.txt,85.99,78.17,76.8,80.67,78.7,19.33,100.0,19.33
./data/detection/run_3/celebaHQ128/wrn_28_10_4/std/8_255/InputMFS/LR/log.txt,97.71,93.33,91.4,95.67,93.49,4.33,100.0,4.33
./data/detection/run_3/celebaHQ128/wrn_28_10_4/df/InputMFS/LR/log.txt,50.65,50.33,50.4,46.0,48.08,54.0,100.0,54.0
./data/detection/run_3/celebaHQ128/wrn_28_10_4/cw/InputMFS/LR/log.txt,50.84,50.67,50.7,48.0,49.32,52.0,100.0,52.0
./data/detection/run_3/celebaHQ128/wrn_28_10_4/fgsm/InputMFS/RF/log.txt,96.2,87.17,79.7,99.67,88.59,0.33,99.28,0.33
./data/detection/run_3/celebaHQ128/wrn_28_10_4/bim/InputMFS/RF/log.txt,96.63,83.67,76.4,97.33,85.63,2.67,100.0,2.67
./data/detection/run_3/celebaHQ128/wrn_28_10_4/pgd/InputMFS/RF/log.txt,90.83,77.5,71.7,91.0,80.18,9.0,100.0,9.0
./data/detection/run_3/celebaHQ128/wrn_28_10_4/std/8_255/InputMFS/RF/log.txt,99.47,93.17,88.4,99.33,93.56,0.67,100.0,0.67
./data/detection/run_3/celebaHQ128/wrn_28_10_4/df/InputMFS/RF/log.txt,51.7,51.0,51.1,48.0,49.48,52.0,100.0,52.0
./data/detection/run_3/celebaHQ128/wrn_28_10_4/cw/InputMFS/RF/log.txt,50.87,50.17,50.2,48.0,49.06,52.0,100.0,52.0
./data/detection/run_3/celebaHQ128/wrn_28_10_4/fgsm/LayerMFS/LR/log.txt,99.84,98.17,98.0,98.33,98.17,1.67,99.28,1.66
./data/detection/run_3/celebaHQ128/wrn_28_10_4/bim/LayerMFS/LR/log.txt,99.8,98.0,98.3,97.67,97.99,2.33,100.0,2.33
./data/detection/run_3/celebaHQ128/wrn_28_10_4/pgd/LayerMFS/LR/log.txt,99.61,97.0,97.0,97.0,97.0,3.0,100.0,3.0
./data/detection/run_3/celebaHQ128/wrn_28_10_4/std/8_255/LayerMFS/LR/log.txt,99.99,99.0,98.7,99.33,99.0,0.67,100.0,0.67
./data/detection/run_3/celebaHQ128/wrn_28_10_4/df/LayerMFS/LR/log.txt,53.16,51.83,52.0,48.0,49.91,52.0,100.0,52.0
./data/detection/run_3/celebaHQ128/wrn_28_10_4/cw/LayerMFS/LR/log.txt,54.25,53.17,53.3,51.33,52.29,48.67,100.0,48.67
./data/detection/run_3/celebaHQ128/wrn_28_10_4/fgsm/LayerMFS/RF/log.txt,99.99,99.67,99.7,99.67,99.67,0.33,99.28,0.33
./data/detection/run_3/celebaHQ128/wrn_28_10_4/bim/LayerMFS/RF/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,100.0,0.0
./data/detection/run_3/celebaHQ128/wrn_28_10_4/pgd/LayerMFS/RF/log.txt,100.0,99.67,99.3,100.0,99.67,0.0,100.0,0.0
./data/detection/run_3/celebaHQ128/wrn_28_10_4/std/8_255/LayerMFS/RF/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0
./data/detection/run_3/celebaHQ128/wrn_28_10_4/df/LayerMFS/RF/log.txt,51.24,50.33,50.3,50.0,50.17,50.0,100.0,50.0
./data/detection/run_3/celebaHQ128/wrn_28_10_4/cw/LayerMFS/RF/log.txt,50.36,51.5,51.6,49.0,50.26,51.0,100.0,51.0
