,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/cif100vgg/vgg_16_0_100/fgsm/InputMFS/LR/log.txt,98.82,96.25,96.2,96.25,96.25,3.75,72.12,2.7
./data/detection/run_2/cif100vgg/vgg_16_0_100/bim/InputMFS/LR/log.txt,90.98,85.12,84.2,86.5,85.33,13.5,98.44,13.29
./data/detection/run_2/cif100vgg/vgg_16_0_100/pgd/InputMFS/LR/log.txt,92.36,86.75,85.5,88.5,86.98,11.5,98.24,11.3
./data/detection/run_2/cif100vgg/vgg_16_0_100/std/8_255/InputMFS/LR/log.txt,95.68,90.0,90.4,89.5,89.95,10.5,100.0,10.5
./data/detection/run_2/cif100vgg/vgg_16_0_100/df/InputMFS/LR/log.txt,56.11,54.0,54.2,51.5,52.82,48.5,100.0,48.5
./data/detection/run_2/cif100vgg/vgg_16_0_100/cw/InputMFS/LR/log.txt,51.84,51.25,51.3,49.0,50.13,51.0,100.0,51.0
./data/detection/run_2/cif100vgg/vgg_16_0_100/fgsm/InputMFS/RF/log.txt,99.71,97.38,95.0,100.0,97.44,0.0,72.12,0.0
./data/detection/run_2/cif100vgg/vgg_16_0_100/bim/InputMFS/RF/log.txt,97.22,91.25,85.1,100.0,91.95,0.0,98.44,0.0
./data/detection/run_2/cif100vgg/vgg_16_0_100/pgd/InputMFS/RF/log.txt,98.52,92.75,87.5,99.75,93.22,0.25,98.24,0.25
./data/detection/run_2/cif100vgg/vgg_16_0_100/std/8_255/InputMFS/RF/log.txt,99.29,96.0,92.6,100.0,96.15,0.0,100.0,0.0
./data/detection/run_2/cif100vgg/vgg_16_0_100/df/InputMFS/RF/log.txt,67.28,62.12,61.6,64.25,62.91,35.75,100.0,35.75
./data/detection/run_2/cif100vgg/vgg_16_0_100/cw/InputMFS/RF/log.txt,56.85,54.75,54.1,62.0,57.81,38.0,100.0,38.0
./data/detection/run_2/cif100vgg/vgg_16_0_100/fgsm/LayerMFS/LR/log.txt,98.55,94.88,94.8,95.0,94.88,5.0,72.12,3.61
./data/detection/run_2/cif100vgg/vgg_16_0_100/bim/LayerMFS/LR/log.txt,91.22,84.62,83.7,86.0,84.83,14.0,98.44,13.78
./data/detection/run_2/cif100vgg/vgg_16_0_100/pgd/LayerMFS/LR/log.txt,92.57,86.38,86.5,86.25,86.36,13.75,98.24,13.51
./data/detection/run_2/cif100vgg/vgg_16_0_100/std/8_255/LayerMFS/LR/log.txt,95.84,89.0,89.0,89.0,89.0,11.0,100.0,11.0
./data/detection/run_2/cif100vgg/vgg_16_0_100/df/LayerMFS/LR/log.txt,71.99,67.0,67.0,67.0,67.0,33.0,100.0,33.0
./data/detection/run_2/cif100vgg/vgg_16_0_100/cw/LayerMFS/LR/log.txt,73.09,67.0,67.1,66.75,66.92,33.25,100.0,33.25
./data/detection/run_2/cif100vgg/vgg_16_0_100/fgsm/LayerMFS/RF/log.txt,99.87,97.12,94.6,100.0,97.21,0.0,72.12,0.0
./data/detection/run_2/cif100vgg/vgg_16_0_100/bim/LayerMFS/RF/log.txt,97.36,90.5,84.0,100.0,91.32,0.0,98.44,0.0
./data/detection/run_2/cif100vgg/vgg_16_0_100/pgd/LayerMFS/RF/log.txt,98.5,92.75,87.5,99.75,93.22,0.25,98.24,0.25
./data/detection/run_2/cif100vgg/vgg_16_0_100/std/8_255/LayerMFS/RF/log.txt,99.62,96.38,93.4,99.75,96.49,0.25,100.0,0.25
./data/detection/run_2/cif100vgg/vgg_16_0_100/df/LayerMFS/RF/log.txt,76.28,68.38,67.3,71.5,69.33,28.5,100.0,28.5
./data/detection/run_2/cif100vgg/vgg_16_0_100/cw/LayerMFS/RF/log.txt,80.22,74.5,70.9,83.0,76.5,17.0,100.0,17.0
