,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/celebaHQ128/wrn_28_10_4/fgsm/InputMFS/LR/log.txt,96.02,91.17,91.3,91.0,91.15,9.0,99.41,8.95
./data/detection/run_2/celebaHQ128/wrn_28_10_4/bim/InputMFS/LR/log.txt,94.16,87.5,87.1,88.0,87.56,12.0,100.0,12.0
./data/detection/run_2/celebaHQ128/wrn_28_10_4/pgd/InputMFS/LR/log.txt,87.86,80.17,79.1,82.0,80.52,18.0,100.0,18.0
./data/detection/run_2/celebaHQ128/wrn_28_10_4/std/8_255/InputMFS/LR/log.txt,97.72,92.33,92.3,92.33,92.33,7.67,100.0,7.67
./data/detection/run_2/celebaHQ128/wrn_28_10_4/df/InputMFS/LR/log.txt,50.55,50.5,50.5,54.33,52.33,45.67,100.0,45.67
./data/detection/run_2/celebaHQ128/wrn_28_10_4/cw/InputMFS/LR/log.txt,50.72,50.67,50.7,46.33,48.43,53.67,100.0,53.67
./data/detection/run_2/celebaHQ128/wrn_28_10_4/fgsm/InputMFS/RF/log.txt,95.62,87.0,80.0,98.67,88.36,1.33,99.41,1.32
./data/detection/run_2/celebaHQ128/wrn_28_10_4/bim/InputMFS/RF/log.txt,97.3,86.83,80.3,97.67,88.12,2.33,100.0,2.33
./data/detection/run_2/celebaHQ128/wrn_28_10_4/pgd/InputMFS/RF/log.txt,92.55,82.0,76.1,93.33,83.83,6.67,100.0,6.67
./data/detection/run_2/celebaHQ128/wrn_28_10_4/std/8_255/InputMFS/RF/log.txt,99.49,91.67,85.9,99.67,92.28,0.33,100.0,0.33
./data/detection/run_2/celebaHQ128/wrn_28_10_4/df/InputMFS/RF/log.txt,49.71,49.17,49.1,46.33,47.68,53.67,100.0,53.67
./data/detection/run_2/celebaHQ128/wrn_28_10_4/cw/InputMFS/RF/log.txt,49.2,48.5,48.5,47.0,47.72,53.0,100.0,53.0
./data/detection/run_2/celebaHQ128/wrn_28_10_4/fgsm/LayerMFS/LR/log.txt,99.97,99.17,99.3,99.0,99.17,1.0,99.41,0.99
./data/detection/run_2/celebaHQ128/wrn_28_10_4/bim/LayerMFS/LR/log.txt,99.86,98.83,100.0,97.67,98.82,2.33,100.0,2.33
./data/detection/run_2/celebaHQ128/wrn_28_10_4/pgd/LayerMFS/LR/log.txt,99.54,96.83,98.6,95.0,96.77,5.0,100.0,5.0
./data/detection/run_2/celebaHQ128/wrn_28_10_4/std/8_255/LayerMFS/LR/log.txt,99.97,99.0,99.7,98.33,98.99,1.67,100.0,1.67
./data/detection/run_2/celebaHQ128/wrn_28_10_4/df/LayerMFS/LR/log.txt,52.92,52.67,52.7,52.67,52.67,47.33,100.0,47.33
./data/detection/run_2/celebaHQ128/wrn_28_10_4/cw/LayerMFS/LR/log.txt,54.27,52.33,52.3,52.33,52.33,47.67,100.0,47.67
./data/detection/run_2/celebaHQ128/wrn_28_10_4/fgsm/LayerMFS/RF/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,99.41,0.0
./data/detection/run_2/celebaHQ128/wrn_28_10_4/bim/LayerMFS/RF/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,100.0,0.0
./data/detection/run_2/celebaHQ128/wrn_28_10_4/pgd/LayerMFS/RF/log.txt,100.0,99.67,99.3,100.0,99.67,0.0,100.0,0.0
./data/detection/run_2/celebaHQ128/wrn_28_10_4/std/8_255/LayerMFS/RF/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0
./data/detection/run_2/celebaHQ128/wrn_28_10_4/df/LayerMFS/RF/log.txt,52.84,51.17,51.4,43.33,47.02,56.67,100.0,56.67
./data/detection/run_2/celebaHQ128/wrn_28_10_4/cw/LayerMFS/RF/log.txt,49.11,50.33,50.4,44.67,47.35,55.33,100.0,55.33
