,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/imagenet128/wrn_28_10/fgsm/InputMFS/LR/log.txt,90.62,82.17,81.0,84.0,82.49,16.0,95.03,15.2
./data/detection/run_2/imagenet128/wrn_28_10/bim/InputMFS/LR/log.txt,71.69,66.5,67.1,64.67,65.87,35.33,99.9,35.29
./data/detection/run_2/imagenet128/wrn_28_10/pgd/InputMFS/LR/log.txt,72.02,69.33,69.6,68.67,69.13,31.33,99.95,31.31
./data/detection/run_2/imagenet128/wrn_28_10/std/8_255/InputMFS/LR/log.txt,79.92,75.0,73.6,78.0,75.73,22.0,100.0,22.0
./data/detection/run_2/imagenet128/wrn_28_10/df/InputMFS/LR/log.txt,50.09,50.0,50.0,51.33,50.66,48.67,100.0,48.67
./data/detection/run_2/imagenet128/wrn_28_10/cw/InputMFS/LR/log.txt,50.16,50.0,50.0,56.33,52.98,43.67,100.0,43.67
./data/detection/run_2/imagenet128/wrn_28_10/fgsm/InputMFS/RF/log.txt,95.82,88.67,81.5,100.0,89.82,0.0,95.03,0.0
./data/detection/run_2/imagenet128/wrn_28_10/bim/InputMFS/RF/log.txt,81.99,76.17,69.0,95.0,79.94,5.0,99.9,5.0
./data/detection/run_2/imagenet128/wrn_28_10/pgd/InputMFS/RF/log.txt,81.25,73.17,66.4,93.67,77.73,6.33,99.95,6.33
./data/detection/run_2/imagenet128/wrn_28_10/std/8_255/InputMFS/RF/log.txt,93.97,83.5,75.6,99.0,85.71,1.0,100.0,1.0
./data/detection/run_2/imagenet128/wrn_28_10/df/InputMFS/RF/log.txt,50.46,49.5,49.5,46.33,47.85,53.67,100.0,53.67
./data/detection/run_2/imagenet128/wrn_28_10/cw/InputMFS/RF/log.txt,49.84,49.67,49.7,50.33,50.0,49.67,100.0,49.67
./data/detection/run_2/imagenet128/wrn_28_10/fgsm/LayerMFS/LR/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,95.03,0.0
./data/detection/run_2/imagenet128/wrn_28_10/bim/LayerMFS/LR/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,99.9,0.0
./data/detection/run_2/imagenet128/wrn_28_10/pgd/LayerMFS/LR/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,99.95,0.0
./data/detection/run_2/imagenet128/wrn_28_10/std/8_255/LayerMFS/LR/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,100.0,0.0
./data/detection/run_2/imagenet128/wrn_28_10/df/LayerMFS/LR/log.txt,50.01,50.0,50.0,52.67,51.3,47.33,100.0,47.33
./data/detection/run_2/imagenet128/wrn_28_10/cw/LayerMFS/LR/log.txt,49.98,50.0,50.0,50.38,50.19,49.62,100.0,49.62
./data/detection/run_2/imagenet128/wrn_28_10/fgsm/LayerMFS/RF/log.txt,99.99,99.5,99.7,99.33,99.5,0.67,95.03,0.64
./data/detection/run_2/imagenet128/wrn_28_10/bim/LayerMFS/RF/log.txt,99.99,99.5,99.0,100.0,99.5,0.0,99.9,0.0
./data/detection/run_2/imagenet128/wrn_28_10/pgd/LayerMFS/RF/log.txt,99.99,99.33,98.7,100.0,99.34,0.0,99.95,0.0
./data/detection/run_2/imagenet128/wrn_28_10/std/8_255/LayerMFS/RF/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,100.0,0.0
./data/detection/run_2/imagenet128/wrn_28_10/df/LayerMFS/RF/log.txt,50.01,50.0,50.0,53.0,51.46,47.0,100.0,47.0
./data/detection/run_2/imagenet128/wrn_28_10/cw/LayerMFS/RF/log.txt,49.94,49.67,49.7,50.67,50.17,49.33,100.0,49.33
