,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/cif100/wrn_28_10_100/fgsm/InputMFS/LR/log.txt,98.77,95.33,95.9,94.67,95.3,5.33,86.55,4.61
./data/detection/run_2/cif100/wrn_28_10_100/bim/InputMFS/LR/log.txt,94.06,89.5,88.6,90.67,89.62,9.33,99.85,9.32
./data/detection/run_2/cif100/wrn_28_10_100/pgd/InputMFS/LR/log.txt,93.73,88.67,88.7,88.67,88.67,11.33,99.9,11.32
./data/detection/run_2/cif100/wrn_28_10_100/std/8_255/InputMFS/LR/log.txt,95.59,89.83,90.0,89.67,89.82,10.33,100.0,10.33
./data/detection/run_2/cif100/wrn_28_10_100/df/InputMFS/LR/log.txt,53.36,52.33,52.8,43.33,47.62,56.67,100.0,56.67
./data/detection/run_2/cif100/wrn_28_10_100/cw/InputMFS/LR/log.txt,53.46,52.33,52.8,44.67,48.38,55.33,100.0,55.33
./data/detection/run_2/cif100/wrn_28_10_100/fgsm/InputMFS/RF/log.txt,99.96,96.33,93.2,100.0,96.46,0.0,86.55,0.0
./data/detection/run_2/cif100/wrn_28_10_100/bim/InputMFS/RF/log.txt,97.92,95.5,91.7,100.0,95.69,0.0,99.85,0.0
./data/detection/run_2/cif100/wrn_28_10_100/pgd/InputMFS/RF/log.txt,98.54,95.67,92.0,100.0,95.85,0.0,99.9,0.0
./data/detection/run_2/cif100/wrn_28_10_100/std/8_255/InputMFS/RF/log.txt,99.39,95.17,91.2,100.0,95.39,0.0,100.0,0.0
./data/detection/run_2/cif100/wrn_28_10_100/df/InputMFS/RF/log.txt,60.94,58.5,58.5,58.33,58.43,41.67,100.0,41.67
./data/detection/run_2/cif100/wrn_28_10_100/cw/InputMFS/RF/log.txt,59.81,57.0,57.2,55.67,56.42,44.33,100.0,44.33
./data/detection/run_2/cif100/wrn_28_10_100/fgsm/LayerMFS/LR/log.txt,99.96,98.83,98.7,99.0,98.84,1.0,86.55,0.87
./data/detection/run_2/cif100/wrn_28_10_100/bim/LayerMFS/LR/log.txt,99.18,96.5,96.0,97.0,96.52,3.0,99.85,3.0
./data/detection/run_2/cif100/wrn_28_10_100/pgd/LayerMFS/LR/log.txt,99.06,95.83,95.1,96.67,95.87,3.33,99.9,3.33
./data/detection/run_2/cif100/wrn_28_10_100/std/8_255/LayerMFS/LR/log.txt,99.23,97.17,96.4,98.0,97.19,2.0,100.0,2.0
./data/detection/run_2/cif100/wrn_28_10_100/df/LayerMFS/LR/log.txt,68.26,61.67,62.6,58.0,60.21,42.0,100.0,42.0
./data/detection/run_2/cif100/wrn_28_10_100/cw/LayerMFS/LR/log.txt,68.45,63.83,64.8,60.67,62.65,39.33,100.0,39.33
./data/detection/run_2/cif100/wrn_28_10_100/fgsm/LayerMFS/RF/log.txt,99.92,98.33,97.4,99.33,98.35,0.67,86.55,0.58
./data/detection/run_2/cif100/wrn_28_10_100/bim/LayerMFS/RF/log.txt,99.34,95.83,92.3,100.0,96.0,0.0,99.85,0.0
./data/detection/run_2/cif100/wrn_28_10_100/pgd/LayerMFS/RF/log.txt,99.53,96.0,92.9,99.67,96.14,0.33,99.9,0.33
./data/detection/run_2/cif100/wrn_28_10_100/std/8_255/LayerMFS/RF/log.txt,99.76,97.17,94.6,100.0,97.24,0.0,100.0,0.0
./data/detection/run_2/cif100/wrn_28_10_100/df/LayerMFS/RF/log.txt,64.79,59.17,59.3,58.33,58.82,41.67,100.0,41.67
./data/detection/run_2/cif100/wrn_28_10_100/cw/LayerMFS/RF/log.txt,61.08,57.0,56.6,59.67,58.12,40.33,100.0,40.33
