,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/cif10_rb/wrn_28_10_10/fgsm/InputMFS/LR/log.txt,91.11,85.83,82.7,90.67,86.49,9.33,66.96,6.25
./data/detection/run_2/cif10_rb/wrn_28_10_10/bim/InputMFS/LR/log.txt,87.1,81.67,81.5,82.0,81.73,18.0,79.88,14.38
./data/detection/run_2/cif10_rb/wrn_28_10_10/pgd/InputMFS/LR/log.txt,91.56,85.83,85.7,86.0,85.86,14.0,74.18,10.39
./data/detection/run_2/cif10_rb/wrn_28_10_10/std/8_255/InputMFS/LR/log.txt,89.97,82.83,82.5,83.33,82.92,16.67,27.42,4.57
./data/detection/run_2/cif10_rb/wrn_28_10_10/df/InputMFS/LR/log.txt,64.51,59.17,61.9,47.67,53.86,52.33,100.0,52.33
./data/detection/run_2/cif10_rb/wrn_28_10_10/cw/InputMFS/LR/log.txt,58.44,56.67,57.5,51.33,54.23,48.67,100.0,48.67
./data/detection/run_2/cif10_rb/wrn_28_10_10/fgsm/InputMFS/RF/log.txt,99.0,92.67,87.4,99.67,93.15,0.33,66.96,0.22
./data/detection/run_2/cif10_rb/wrn_28_10_10/bim/InputMFS/RF/log.txt,97.23,88.33,81.1,100.0,89.55,0.0,79.88,0.0
./data/detection/run_2/cif10_rb/wrn_28_10_10/pgd/InputMFS/RF/log.txt,98.96,93.5,88.5,100.0,93.9,0.0,74.18,0.0
./data/detection/run_2/cif10_rb/wrn_28_10_10/std/8_255/InputMFS/RF/log.txt,97.88,90.5,84.2,99.67,91.3,0.33,27.42,0.09
./data/detection/run_2/cif10_rb/wrn_28_10_10/df/InputMFS/RF/log.txt,70.53,65.5,70.3,53.67,60.87,46.33,100.0,46.33
./data/detection/run_2/cif10_rb/wrn_28_10_10/cw/InputMFS/RF/log.txt,66.11,62.83,64.3,57.67,60.81,42.33,100.0,42.33
./data/detection/run_2/cif10_rb/wrn_28_10_10/fgsm/LayerMFS/LR/log.txt,92.94,84.33,85.5,82.67,84.07,17.33,66.96,11.6
./data/detection/run_2/cif10_rb/wrn_28_10_10/bim/LayerMFS/LR/log.txt,90.58,83.33,82.3,85.0,83.61,15.0,79.88,11.98
./data/detection/run_2/cif10_rb/wrn_28_10_10/pgd/LayerMFS/LR/log.txt,92.84,85.0,87.5,81.67,84.48,18.33,74.18,13.6
./data/detection/run_2/cif10_rb/wrn_28_10_10/std/8_255/LayerMFS/LR/log.txt,84.36,77.0,79.6,72.67,75.96,27.33,27.42,7.49
./data/detection/run_2/cif10_rb/wrn_28_10_10/df/LayerMFS/LR/log.txt,70.0,63.83,65.3,59.0,62.0,41.0,100.0,41.0
./data/detection/run_2/cif10_rb/wrn_28_10_10/cw/LayerMFS/LR/log.txt,67.66,63.17,64.6,58.33,61.3,41.67,100.0,41.67
./data/detection/run_2/cif10_rb/wrn_28_10_10/fgsm/LayerMFS/RF/log.txt,90.44,81.17,78.2,86.33,82.09,13.67,66.96,9.15
./data/detection/run_2/cif10_rb/wrn_28_10_10/bim/LayerMFS/RF/log.txt,83.27,73.5,70.1,82.0,75.58,18.0,79.88,14.38
./data/detection/run_2/cif10_rb/wrn_28_10_10/pgd/LayerMFS/RF/log.txt,89.05,79.5,78.1,82.0,80.0,18.0,74.18,13.35
./data/detection/run_2/cif10_rb/wrn_28_10_10/std/8_255/LayerMFS/RF/log.txt,81.78,72.83,70.4,78.67,74.33,21.33,27.42,5.85
./data/detection/run_2/cif10_rb/wrn_28_10_10/df/LayerMFS/RF/log.txt,64.9,59.67,61.2,52.67,56.63,47.33,100.0,47.33
./data/detection/run_2/cif10_rb/wrn_28_10_10/cw/LayerMFS/RF/log.txt,63.79,59.17,60.5,53.0,56.48,47.0,100.0,47.0
