,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/cif10/wrn_28_10_10/fgsm/InputMFS/LR/log.txt,99.5,96.67,95.5,98.0,96.71,2.0,92.42,1.85
./data/detection/run_2/cif10/wrn_28_10_10/bim/InputMFS/LR/log.txt,94.88,91.0,89.7,92.67,91.15,7.33,100.0,7.33
./data/detection/run_2/cif10/wrn_28_10_10/pgd/InputMFS/LR/log.txt,96.48,92.0,89.9,94.67,92.21,5.33,99.95,5.33
./data/detection/run_2/cif10/wrn_28_10_10/std/8_255/InputMFS/LR/log.txt,97.18,93.0,93.6,92.33,92.95,7.67,100.0,7.67
./data/detection/run_2/cif10/wrn_28_10_10/df/InputMFS/LR/log.txt,59.34,56.67,56.5,57.67,57.1,42.33,100.0,42.33
./data/detection/run_2/cif10/wrn_28_10_10/cw/InputMFS/LR/log.txt,58.17,55.5,55.6,55.0,55.28,45.0,100.0,45.0
./data/detection/run_2/cif10/wrn_28_10_10/fgsm/InputMFS/RF/log.txt,99.56,97.17,94.6,100.0,97.24,0.0,92.42,0.0
./data/detection/run_2/cif10/wrn_28_10_10/bim/InputMFS/RF/log.txt,98.74,94.5,90.3,99.67,94.77,0.33,100.0,0.33
./data/detection/run_2/cif10/wrn_28_10_10/pgd/InputMFS/RF/log.txt,99.08,94.5,90.1,100.0,94.79,0.0,99.95,0.0
./data/detection/run_2/cif10/wrn_28_10_10/std/8_255/InputMFS/RF/log.txt,99.42,94.33,90.1,99.67,94.62,0.33,100.0,0.33
./data/detection/run_2/cif10/wrn_28_10_10/df/InputMFS/RF/log.txt,64.54,61.33,60.7,64.33,62.46,35.67,100.0,35.67
./data/detection/run_2/cif10/wrn_28_10_10/cw/InputMFS/RF/log.txt,65.21,60.33,59.6,64.0,61.74,36.0,100.0,36.0
./data/detection/run_2/cif10/wrn_28_10_10/fgsm/LayerMFS/LR/log.txt,99.86,99.0,98.4,99.67,99.01,0.33,92.42,0.3
./data/detection/run_2/cif10/wrn_28_10_10/bim/LayerMFS/LR/log.txt,99.77,98.5,98.0,99.0,98.51,1.0,100.0,1.0
./data/detection/run_2/cif10/wrn_28_10_10/pgd/LayerMFS/LR/log.txt,99.75,98.17,97.4,99.0,98.18,1.0,99.95,1.0
./data/detection/run_2/cif10/wrn_28_10_10/std/8_255/LayerMFS/LR/log.txt,99.98,99.17,99.3,99.0,99.17,1.0,100.0,1.0
./data/detection/run_2/cif10/wrn_28_10_10/df/LayerMFS/LR/log.txt,69.05,63.0,62.3,65.67,63.96,34.33,100.0,34.33
./data/detection/run_2/cif10/wrn_28_10_10/cw/LayerMFS/LR/log.txt,53.66,52.17,52.0,56.33,54.08,43.67,100.0,43.67
./data/detection/run_2/cif10/wrn_28_10_10/fgsm/LayerMFS/RF/log.txt,99.42,97.17,95.2,99.33,97.23,0.67,92.42,0.62
./data/detection/run_2/cif10/wrn_28_10_10/bim/LayerMFS/RF/log.txt,99.21,94.5,91.1,98.67,94.72,1.33,100.0,1.33
./data/detection/run_2/cif10/wrn_28_10_10/pgd/LayerMFS/RF/log.txt,99.23,94.67,90.6,99.67,94.92,0.33,99.95,0.33
./data/detection/run_2/cif10/wrn_28_10_10/std/8_255/LayerMFS/RF/log.txt,99.85,96.5,93.5,100.0,96.62,0.0,100.0,0.0
./data/detection/run_2/cif10/wrn_28_10_10/df/LayerMFS/RF/log.txt,61.53,58.17,59.2,52.67,55.73,47.33,100.0,47.33
./data/detection/run_2/cif10/wrn_28_10_10/cw/LayerMFS/RF/log.txt,62.39,57.83,59.3,50.0,54.25,50.0,100.0,50.0
