,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_3/cif10rn34/rn_34_0_10/fgsm/InputMFS/LR/log.txt,98.85,96.83,97.3,96.33,96.82,3.67,93.89,3.45
./data/detection/run_3/cif10rn34/rn_34_0_10/bim/InputMFS/LR/log.txt,95.89,90.0,88.7,91.67,90.16,8.33,99.95,8.33
./data/detection/run_3/cif10rn34/rn_34_0_10/pgd/InputMFS/LR/log.txt,97.27,93.0,92.2,94.0,93.07,6.0,99.95,6.0
./data/detection/run_3/cif10rn34/rn_34_0_10/std/8_255/InputMFS/LR/log.txt,97.2,91.5,89.8,93.67,91.68,6.33,100.0,6.33
./data/detection/run_3/cif10rn34/rn_34_0_10/df/InputMFS/LR/log.txt,57.54,55.33,55.3,56.0,55.63,44.0,100.0,44.0
./data/detection/run_3/cif10rn34/rn_34_0_10/cw/InputMFS/LR/log.txt,56.12,55.5,55.4,56.67,56.01,43.33,100.0,43.33
./data/detection/run_3/cif10rn34/rn_34_0_10/fgsm/InputMFS/RF/log.txt,99.87,97.83,95.8,100.0,97.88,0.0,93.89,0.0
./data/detection/run_3/cif10rn34/rn_34_0_10/bim/InputMFS/RF/log.txt,99.49,94.33,89.8,100.0,94.64,0.0,99.95,0.0
./data/detection/run_3/cif10rn34/rn_34_0_10/pgd/InputMFS/RF/log.txt,99.65,95.67,92.0,100.0,95.85,0.0,99.95,0.0
./data/detection/run_3/cif10rn34/rn_34_0_10/std/8_255/InputMFS/RF/log.txt,99.06,94.17,89.6,100.0,94.49,0.0,100.0,0.0
./data/detection/run_3/cif10rn34/rn_34_0_10/df/InputMFS/RF/log.txt,60.31,56.5,56.2,58.67,57.42,41.33,100.0,41.33
./data/detection/run_3/cif10rn34/rn_34_0_10/cw/InputMFS/RF/log.txt,59.52,55.17,55.1,56.0,55.54,44.0,100.0,44.0
./data/detection/run_3/cif10rn34/rn_34_0_10/fgsm/LayerMFS/LR/log.txt,99.6,96.67,96.7,96.67,96.67,3.33,93.89,3.13
./data/detection/run_3/cif10rn34/rn_34_0_10/bim/LayerMFS/LR/log.txt,99.79,98.0,98.6,97.33,97.99,2.67,99.95,2.67
./data/detection/run_3/cif10rn34/rn_34_0_10/pgd/LayerMFS/LR/log.txt,99.68,97.5,99.3,95.67,97.45,4.33,99.95,4.33
./data/detection/run_3/cif10rn34/rn_34_0_10/std/8_255/LayerMFS/LR/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0
./data/detection/run_3/cif10rn34/rn_34_0_10/df/LayerMFS/LR/log.txt,79.58,72.0,72.4,71.0,71.72,29.0,100.0,29.0
./data/detection/run_3/cif10rn34/rn_34_0_10/cw/LayerMFS/LR/log.txt,79.6,71.83,72.1,71.33,71.69,28.67,100.0,28.67
./data/detection/run_3/cif10rn34/rn_34_0_10/fgsm/LayerMFS/RF/log.txt,95.42,88.0,88.8,87.0,87.88,13.0,93.89,12.21
./data/detection/run_3/cif10rn34/rn_34_0_10/bim/LayerMFS/RF/log.txt,99.58,97.83,98.0,97.67,97.83,2.33,99.95,2.33
./data/detection/run_3/cif10rn34/rn_34_0_10/pgd/LayerMFS/RF/log.txt,99.65,97.17,97.6,96.67,97.15,3.33,99.95,3.33
./data/detection/run_3/cif10rn34/rn_34_0_10/std/8_255/LayerMFS/RF/log.txt,99.99,99.17,98.4,100.0,99.17,0.0,100.0,0.0
./data/detection/run_3/cif10rn34/rn_34_0_10/df/LayerMFS/RF/log.txt,82.75,78.33,73.7,88.0,80.24,12.0,100.0,12.0
./data/detection/run_3/cif10rn34/rn_34_0_10/cw/LayerMFS/RF/log.txt,83.72,79.0,74.3,88.67,80.85,11.33,100.0,11.33
