,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_3/cif100/wrn_28_10_100/fgsm/InputMFS/LR/log.txt,99.21,96.17,97.9,94.33,96.1,5.67,86.06,4.88
./data/detection/run_3/cif100/wrn_28_10_100/bim/InputMFS/LR/log.txt,94.9,88.33,91.1,85.0,87.93,15.0,99.85,14.98
./data/detection/run_3/cif100/wrn_28_10_100/pgd/InputMFS/LR/log.txt,94.93,90.0,94.1,85.33,89.51,14.67,99.9,14.66
./data/detection/run_3/cif100/wrn_28_10_100/std/8_255/InputMFS/LR/log.txt,95.75,91.67,91.1,92.33,91.72,7.67,100.0,7.67
./data/detection/run_3/cif100/wrn_28_10_100/df/InputMFS/LR/log.txt,54.05,52.5,52.9,45.67,49.02,54.33,100.0,54.33
./data/detection/run_3/cif100/wrn_28_10_100/cw/InputMFS/LR/log.txt,54.35,52.5,53.1,42.67,47.32,57.33,100.0,57.33
./data/detection/run_3/cif100/wrn_28_10_100/fgsm/InputMFS/RF/log.txt,99.9,98.17,96.5,100.0,98.2,0.0,86.06,0.0
./data/detection/run_3/cif100/wrn_28_10_100/bim/InputMFS/RF/log.txt,98.85,93.5,88.5,100.0,93.9,0.0,99.85,0.0
./data/detection/run_3/cif100/wrn_28_10_100/pgd/InputMFS/RF/log.txt,99.55,96.17,92.9,100.0,96.31,0.0,99.9,0.0
./data/detection/run_3/cif100/wrn_28_10_100/std/8_255/InputMFS/RF/log.txt,99.41,94.33,89.8,100.0,94.64,0.0,100.0,0.0
./data/detection/run_3/cif100/wrn_28_10_100/df/InputMFS/RF/log.txt,60.34,57.0,56.6,59.67,58.12,40.33,100.0,40.33
./data/detection/run_3/cif100/wrn_28_10_100/cw/InputMFS/RF/log.txt,59.54,56.67,56.5,58.33,57.38,41.67,100.0,41.67
./data/detection/run_3/cif100/wrn_28_10_100/fgsm/LayerMFS/LR/log.txt,99.93,99.33,99.0,99.67,99.34,0.33,86.06,0.28
./data/detection/run_3/cif100/wrn_28_10_100/bim/LayerMFS/LR/log.txt,98.53,94.0,93.4,94.67,94.04,5.33,99.85,5.32
./data/detection/run_3/cif100/wrn_28_10_100/pgd/LayerMFS/LR/log.txt,98.63,94.33,95.5,93.0,94.26,7.0,99.9,6.99
./data/detection/run_3/cif100/wrn_28_10_100/std/8_255/LayerMFS/LR/log.txt,99.4,97.17,97.3,97.0,97.16,3.0,100.0,3.0
./data/detection/run_3/cif100/wrn_28_10_100/df/LayerMFS/LR/log.txt,70.99,67.17,68.7,63.0,65.74,37.0,100.0,37.0
./data/detection/run_3/cif100/wrn_28_10_100/cw/LayerMFS/LR/log.txt,69.38,65.83,66.2,64.67,65.43,35.33,100.0,35.33
./data/detection/run_3/cif100/wrn_28_10_100/fgsm/LayerMFS/RF/log.txt,99.94,98.83,98.0,99.67,98.84,0.33,86.06,0.28
./data/detection/run_3/cif100/wrn_28_10_100/bim/LayerMFS/RF/log.txt,98.65,94.83,90.9,99.67,95.07,0.33,99.85,0.33
./data/detection/run_3/cif100/wrn_28_10_100/pgd/LayerMFS/RF/log.txt,99.4,95.5,92.3,99.33,95.67,0.67,99.9,0.67
./data/detection/run_3/cif100/wrn_28_10_100/std/8_255/LayerMFS/RF/log.txt,99.07,96.5,93.7,99.67,96.61,0.33,100.0,0.33
./data/detection/run_3/cif100/wrn_28_10_100/df/LayerMFS/RF/log.txt,66.35,60.67,60.7,60.33,60.54,39.67,100.0,39.67
./data/detection/run_3/cif100/wrn_28_10_100/cw/LayerMFS/RF/log.txt,62.41,58.5,58.3,60.0,59.11,40.0,100.0,40.0
