,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_3/imagenet32/wrn_28_10/fgsm/InputMFS/LR/log.txt,94.16,90.17,90.8,89.33,90.08,10.67,94.26,10.06
./data/detection/run_3/imagenet32/wrn_28_10/bim/InputMFS/LR/log.txt,69.75,65.33,65.5,64.67,65.1,35.33,100.0,35.33
./data/detection/run_3/imagenet32/wrn_28_10/pgd/InputMFS/LR/log.txt,69.54,63.83,63.6,64.67,64.13,35.33,100.0,35.33
./data/detection/run_3/imagenet32/wrn_28_10/std/8_255/InputMFS/LR/log.txt,78.8,72.5,71.8,74.0,72.91,26.0,100.0,26.0
./data/detection/run_3/imagenet32/wrn_28_10/df/InputMFS/LR/log.txt,50.08,50.0,50.0,46.67,48.28,53.33,100.0,53.33
./data/detection/run_3/imagenet32/wrn_28_10/cw/InputMFS/LR/log.txt,50.03,49.33,49.4,51.0,50.16,49.0,100.0,49.0
./data/detection/run_3/imagenet32/wrn_28_10/fgsm/InputMFS/RF/log.txt,97.73,91.5,85.7,99.67,92.14,0.33,94.26,0.31
./data/detection/run_3/imagenet32/wrn_28_10/bim/InputMFS/RF/log.txt,76.23,71.5,67.4,83.33,74.52,16.67,100.0,16.67
./data/detection/run_3/imagenet32/wrn_28_10/pgd/InputMFS/RF/log.txt,77.44,72.33,68.0,84.33,75.3,15.67,100.0,15.67
./data/detection/run_3/imagenet32/wrn_28_10/std/8_255/InputMFS/RF/log.txt,84.96,74.17,69.3,86.67,77.04,13.33,100.0,13.33
./data/detection/run_3/imagenet32/wrn_28_10/df/InputMFS/RF/log.txt,50.15,50.33,50.4,43.33,46.59,56.67,100.0,56.67
./data/detection/run_3/imagenet32/wrn_28_10/cw/InputMFS/RF/log.txt,49.85,50.83,50.8,50.67,50.75,49.33,100.0,49.33
./data/detection/run_3/imagenet32/wrn_28_10/fgsm/LayerMFS/LR/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,94.26,0.0
./data/detection/run_3/imagenet32/wrn_28_10/bim/LayerMFS/LR/log.txt,99.98,99.33,99.0,99.67,99.34,0.33,100.0,0.33
./data/detection/run_3/imagenet32/wrn_28_10/pgd/LayerMFS/LR/log.txt,99.99,99.33,99.0,99.67,99.34,0.33,100.0,0.33
./data/detection/run_3/imagenet32/wrn_28_10/std/8_255/LayerMFS/LR/log.txt,100.0,99.83,100.0,99.67,99.83,0.33,100.0,0.33
./data/detection/run_3/imagenet32/wrn_28_10/df/LayerMFS/LR/log.txt,59.75,56.67,56.5,58.33,57.38,41.67,100.0,41.67
./data/detection/run_3/imagenet32/wrn_28_10/cw/LayerMFS/LR/log.txt,59.25,57.0,56.9,57.67,57.28,42.33,100.0,42.33
./data/detection/run_3/imagenet32/wrn_28_10/fgsm/LayerMFS/RF/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,94.26,0.0
./data/detection/run_3/imagenet32/wrn_28_10/bim/LayerMFS/RF/log.txt,99.94,98.5,98.3,98.67,98.5,1.33,100.0,1.33
./data/detection/run_3/imagenet32/wrn_28_10/pgd/LayerMFS/RF/log.txt,99.94,98.5,98.3,98.67,98.5,1.33,100.0,1.33
./data/detection/run_3/imagenet32/wrn_28_10/std/8_255/LayerMFS/RF/log.txt,99.99,99.33,99.0,99.67,99.34,0.33,100.0,0.33
./data/detection/run_3/imagenet32/wrn_28_10/df/LayerMFS/RF/log.txt,57.13,55.5,55.9,52.33,54.04,47.67,100.0,47.67
./data/detection/run_3/imagenet32/wrn_28_10/cw/LayerMFS/RF/log.txt,59.06,56.33,56.3,56.33,56.33,43.67,100.0,43.67
