,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_3/cif100vgg/vgg_16_0_100/fgsm/InputMFS/LR/log.txt,97.7,94.38,93.6,95.25,94.42,4.75,71.98,3.42
./data/detection/run_3/cif100vgg/vgg_16_0_100/bim/InputMFS/LR/log.txt,93.01,87.12,85.6,89.25,87.39,10.75,98.39,10.58
./data/detection/run_3/cif100vgg/vgg_16_0_100/pgd/InputMFS/LR/log.txt,94.99,90.25,89.7,91.0,90.32,9.0,98.29,8.85
./data/detection/run_3/cif100vgg/vgg_16_0_100/std/8_255/InputMFS/LR/log.txt,96.02,90.5,89.9,91.25,90.57,8.75,100.0,8.75
./data/detection/run_3/cif100vgg/vgg_16_0_100/df/InputMFS/LR/log.txt,55.61,55.12,56.3,45.75,50.48,54.25,100.0,54.25
./data/detection/run_3/cif100vgg/vgg_16_0_100/cw/InputMFS/LR/log.txt,51.88,51.75,52.1,43.25,47.27,56.75,100.0,56.75
./data/detection/run_3/cif100vgg/vgg_16_0_100/fgsm/InputMFS/RF/log.txt,99.62,96.75,93.9,100.0,96.85,0.0,71.98,0.0
./data/detection/run_3/cif100vgg/vgg_16_0_100/bim/InputMFS/RF/log.txt,98.34,92.0,86.2,100.0,92.59,0.0,98.39,0.0
./data/detection/run_3/cif100vgg/vgg_16_0_100/pgd/InputMFS/RF/log.txt,98.63,92.75,87.3,100.0,93.24,0.0,98.29,0.0
./data/detection/run_3/cif100vgg/vgg_16_0_100/std/8_255/InputMFS/RF/log.txt,99.23,96.25,93.0,100.0,96.39,0.0,100.0,0.0
./data/detection/run_3/cif100vgg/vgg_16_0_100/df/InputMFS/RF/log.txt,67.38,63.75,64.3,61.75,63.01,38.25,100.0,38.25
./data/detection/run_3/cif100vgg/vgg_16_0_100/cw/InputMFS/RF/log.txt,58.72,55.88,55.8,56.75,56.26,43.25,100.0,43.25
./data/detection/run_3/cif100vgg/vgg_16_0_100/fgsm/LayerMFS/LR/log.txt,97.92,93.5,92.9,94.25,93.55,5.75,71.98,4.14
./data/detection/run_3/cif100vgg/vgg_16_0_100/bim/LayerMFS/LR/log.txt,93.88,87.5,87.5,87.5,87.5,12.5,98.39,12.3
./data/detection/run_3/cif100vgg/vgg_16_0_100/pgd/LayerMFS/LR/log.txt,95.05,89.25,88.5,90.25,89.36,9.75,98.29,9.58
./data/detection/run_3/cif100vgg/vgg_16_0_100/std/8_255/LayerMFS/LR/log.txt,95.95,90.12,89.6,90.75,90.19,9.25,100.0,9.25
./data/detection/run_3/cif100vgg/vgg_16_0_100/df/LayerMFS/LR/log.txt,71.47,67.62,67.4,68.25,67.83,31.75,100.0,31.75
./data/detection/run_3/cif100vgg/vgg_16_0_100/cw/LayerMFS/LR/log.txt,71.33,67.38,68.3,64.75,66.5,35.25,100.0,35.25
./data/detection/run_3/cif100vgg/vgg_16_0_100/fgsm/LayerMFS/RF/log.txt,99.74,96.62,93.7,100.0,96.74,0.0,71.98,0.0
./data/detection/run_3/cif100vgg/vgg_16_0_100/bim/LayerMFS/RF/log.txt,98.56,92.38,86.8,100.0,92.92,0.0,98.39,0.0
./data/detection/run_3/cif100vgg/vgg_16_0_100/pgd/LayerMFS/RF/log.txt,98.79,92.88,87.5,100.0,93.35,0.0,98.29,0.0
./data/detection/run_3/cif100vgg/vgg_16_0_100/std/8_255/LayerMFS/RF/log.txt,99.62,96.38,93.4,99.75,96.49,0.25,100.0,0.25
./data/detection/run_3/cif100vgg/vgg_16_0_100/df/LayerMFS/RF/log.txt,76.82,69.88,68.9,72.5,70.65,27.5,100.0,27.5
./data/detection/run_3/cif100vgg/vgg_16_0_100/cw/LayerMFS/RF/log.txt,80.35,73.88,71.1,80.5,75.5,19.5,100.0,19.5
