,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_1/celebaHQ32/wrn_28_10_4/fgsm/InputMFS/LR/log.txt,76.04,68.0,68.5,66.67,67.57,33.33,98.24,32.74
./data/detection/run_1/celebaHQ32/wrn_28_10_4/bim/InputMFS/LR/log.txt,71.5,64.33,65.1,61.67,63.36,38.33,100.0,38.33
./data/detection/run_1/celebaHQ32/wrn_28_10_4/pgd/InputMFS/LR/log.txt,64.23,60.33,60.7,58.67,59.66,41.33,99.93,41.3
./data/detection/run_1/celebaHQ32/wrn_28_10_4/std/8_255/InputMFS/LR/log.txt,77.05,70.0,70.7,68.33,69.49,31.67,100.0,31.67
./data/detection/run_1/celebaHQ32/wrn_28_10_4/df/InputMFS/LR/log.txt,54.92,53.83,53.8,53.67,53.76,46.33,100.0,46.33
./data/detection/run_1/celebaHQ32/wrn_28_10_4/cw/InputMFS/LR/log.txt,51.53,51.17,51.1,55.33,53.12,44.67,100.0,44.67
./data/detection/run_1/celebaHQ32/wrn_28_10_4/fgsm/InputMFS/RF/log.txt,76.68,70.67,69.3,74.33,71.7,25.67,98.24,25.22
./data/detection/run_1/celebaHQ32/wrn_28_10_4/bim/InputMFS/RF/log.txt,71.46,66.0,65.7,67.0,66.34,33.0,100.0,33.0
./data/detection/run_1/celebaHQ32/wrn_28_10_4/pgd/InputMFS/RF/log.txt,69.82,62.33,62.8,60.67,61.69,39.33,99.93,39.3
./data/detection/run_1/celebaHQ32/wrn_28_10_4/std/8_255/InputMFS/RF/log.txt,80.6,72.83,70.6,78.33,74.25,21.67,100.0,21.67
./data/detection/run_1/celebaHQ32/wrn_28_10_4/df/InputMFS/RF/log.txt,51.52,52.33,52.4,50.0,51.19,50.0,100.0,50.0
./data/detection/run_1/celebaHQ32/wrn_28_10_4/cw/InputMFS/RF/log.txt,49.61,50.0,50.0,52.0,50.98,48.0,100.0,48.0
./data/detection/run_1/celebaHQ32/wrn_28_10_4/fgsm/LayerMFS/LR/log.txt,96.87,90.5,92.0,88.67,90.32,11.33,98.24,11.13
./data/detection/run_1/celebaHQ32/wrn_28_10_4/bim/LayerMFS/LR/log.txt,93.26,85.0,84.1,86.33,85.2,13.67,100.0,13.67
./data/detection/run_1/celebaHQ32/wrn_28_10_4/pgd/LayerMFS/LR/log.txt,89.1,81.0,80.8,81.33,81.06,18.67,99.93,18.66
./data/detection/run_1/celebaHQ32/wrn_28_10_4/std/8_255/LayerMFS/LR/log.txt,94.86,87.67,86.9,88.67,87.79,11.33,100.0,11.33
./data/detection/run_1/celebaHQ32/wrn_28_10_4/df/LayerMFS/LR/log.txt,65.16,60.83,60.5,62.33,61.41,37.67,100.0,37.67
./data/detection/run_1/celebaHQ32/wrn_28_10_4/cw/LayerMFS/LR/log.txt,57.98,55.83,55.2,62.33,58.53,37.67,100.0,37.67
./data/detection/run_1/celebaHQ32/wrn_28_10_4/fgsm/LayerMFS/RF/log.txt,96.14,88.33,85.9,91.67,88.71,8.33,98.24,8.18
./data/detection/run_1/celebaHQ32/wrn_28_10_4/bim/LayerMFS/RF/log.txt,93.69,86.67,84.0,90.67,87.18,9.33,100.0,9.33
./data/detection/run_1/celebaHQ32/wrn_28_10_4/pgd/LayerMFS/RF/log.txt,89.56,81.67,80.3,84.0,82.08,16.0,99.93,15.99
./data/detection/run_1/celebaHQ32/wrn_28_10_4/std/8_255/LayerMFS/RF/log.txt,96.33,88.5,87.1,90.33,88.71,9.67,100.0,9.67
./data/detection/run_1/celebaHQ32/wrn_28_10_4/df/LayerMFS/RF/log.txt,63.55,58.83,57.8,65.33,61.35,34.67,100.0,34.67
./data/detection/run_1/celebaHQ32/wrn_28_10_4/cw/LayerMFS/RF/log.txt,56.82,55.17,55.1,55.33,55.24,44.67,100.0,44.67
