,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_1/imagenet/wrn_50_2/fgsm/InputMFS/LR/log.txt,93.91,87.33,85.9,89.33,87.58,10.67,86.94,9.28
./data/detection/run_1/imagenet/wrn_50_2/bim/InputMFS/LR/log.txt,81.93,76.0,75.0,78.0,76.47,22.0,99.95,21.99
./data/detection/run_1/imagenet/wrn_50_2/pgd/InputMFS/LR/log.txt,91.23,85.33,83.5,88.0,85.71,12.0,99.95,11.99
./data/detection/run_1/imagenet/wrn_50_2/std/8_255/InputMFS/LR/log.txt,90.82,83.67,83.9,83.33,83.61,16.67,100.0,16.67
./data/detection/run_1/imagenet/wrn_50_2/df/InputMFS/LR/log.txt,50.14,50.0,50.0,47.0,48.45,53.0,100.0,53.0
./data/detection/run_1/imagenet/wrn_50_2/cw/InputMFS/LR/log.txt,50.53,50.17,50.2,47.0,48.54,53.0,100.0,53.0
./data/detection/run_1/imagenet/wrn_50_2/fgsm/InputMFS/RF/log.txt,98.74,91.67,85.7,100.0,92.31,0.0,86.94,0.0
./data/detection/run_1/imagenet/wrn_50_2/bim/InputMFS/RF/log.txt,93.37,84.17,76.3,99.0,86.21,1.0,99.95,1.0
./data/detection/run_1/imagenet/wrn_50_2/pgd/InputMFS/RF/log.txt,98.43,90.0,83.3,100.0,90.91,0.0,99.95,0.0
./data/detection/run_1/imagenet/wrn_50_2/std/8_255/InputMFS/RF/log.txt,97.22,86.83,79.3,99.67,88.33,0.33,100.0,0.33
./data/detection/run_1/imagenet/wrn_50_2/df/InputMFS/RF/log.txt,49.61,50.17,50.2,47.67,48.89,52.33,100.0,52.33
./data/detection/run_1/imagenet/wrn_50_2/cw/InputMFS/RF/log.txt,52.06,52.5,52.5,52.67,52.58,47.33,100.0,47.33
./data/detection/run_1/imagenet/wrn_50_2/fgsm/LayerMFS/LR/log.txt,97.48,91.67,92.2,91.0,91.61,9.0,86.94,7.82
./data/detection/run_1/imagenet/wrn_50_2/bim/LayerMFS/LR/log.txt,97.51,94.83,98.9,90.67,94.61,9.33,99.95,9.33
./data/detection/run_1/imagenet/wrn_50_2/pgd/LayerMFS/LR/log.txt,99.56,96.67,99.3,94.0,96.58,6.0,99.95,6.0
./data/detection/run_1/imagenet/wrn_50_2/std/8_255/LayerMFS/LR/log.txt,99.99,99.83,100.0,99.67,99.83,0.33,100.0,0.33
./data/detection/run_1/imagenet/wrn_50_2/df/LayerMFS/LR/log.txt,59.99,57.33,56.7,62.0,59.24,38.0,100.0,38.0
./data/detection/run_1/imagenet/wrn_50_2/cw/LayerMFS/LR/log.txt,61.61,59.0,58.0,65.0,61.32,35.0,100.0,35.0
./data/detection/run_1/imagenet/wrn_50_2/fgsm/LayerMFS/RF/log.txt,90.44,82.5,82.4,82.67,82.53,17.33,86.94,15.07
./data/detection/run_1/imagenet/wrn_50_2/bim/LayerMFS/RF/log.txt,98.35,93.83,92.3,95.67,93.94,4.33,99.95,4.33
./data/detection/run_1/imagenet/wrn_50_2/pgd/LayerMFS/RF/log.txt,99.17,96.33,95.1,97.67,96.38,2.33,99.95,2.33
./data/detection/run_1/imagenet/wrn_50_2/std/8_255/LayerMFS/RF/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,100.0,0.0
./data/detection/run_1/imagenet/wrn_50_2/df/LayerMFS/RF/log.txt,56.28,54.67,54.2,60.33,57.1,39.67,100.0,39.67
./data/detection/run_1/imagenet/wrn_50_2/cw/LayerMFS/RF/log.txt,58.82,55.5,55.3,57.67,56.44,42.33,100.0,42.33
