,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/cif10rn34/rn_34_0_10/fgsm/InputMFS/LR/log.txt,99.34,96.33,95.7,97.0,96.36,3.0,93.75,2.81
./data/detection/run_2/cif10rn34/rn_34_0_10/bim/InputMFS/LR/log.txt,96.6,92.17,90.4,94.33,92.33,5.67,100.0,5.67
./data/detection/run_2/cif10rn34/rn_34_0_10/pgd/InputMFS/LR/log.txt,96.81,91.83,90.6,93.33,91.95,6.67,100.0,6.67
./data/detection/run_2/cif10rn34/rn_34_0_10/std/8_255/InputMFS/LR/log.txt,96.35,92.33,92.6,92.0,92.31,8.0,100.0,8.0
./data/detection/run_2/cif10rn34/rn_34_0_10/df/InputMFS/LR/log.txt,57.14,54.17,54.0,55.67,54.84,44.33,100.0,44.33
./data/detection/run_2/cif10rn34/rn_34_0_10/cw/InputMFS/LR/log.txt,55.89,54.67,54.9,52.67,53.74,47.33,100.0,47.33
./data/detection/run_2/cif10rn34/rn_34_0_10/fgsm/InputMFS/RF/log.txt,99.82,98.0,96.2,100.0,98.04,0.0,93.75,0.0
./data/detection/run_2/cif10rn34/rn_34_0_10/bim/InputMFS/RF/log.txt,98.26,94.67,90.4,100.0,94.94,0.0,100.0,0.0
./data/detection/run_2/cif10rn34/rn_34_0_10/pgd/InputMFS/RF/log.txt,98.92,94.67,90.4,100.0,94.94,0.0,100.0,0.0
./data/detection/run_2/cif10rn34/rn_34_0_10/std/8_255/InputMFS/RF/log.txt,98.74,94.33,89.8,100.0,94.64,0.0,100.0,0.0
./data/detection/run_2/cif10rn34/rn_34_0_10/df/InputMFS/RF/log.txt,60.19,56.33,56.4,56.0,56.19,44.0,100.0,44.0
./data/detection/run_2/cif10rn34/rn_34_0_10/cw/InputMFS/RF/log.txt,60.9,58.0,57.9,58.67,58.28,41.33,100.0,41.33
./data/detection/run_2/cif10rn34/rn_34_0_10/fgsm/LayerMFS/LR/log.txt,99.44,96.0,95.1,97.0,96.04,3.0,93.75,2.81
./data/detection/run_2/cif10rn34/rn_34_0_10/bim/LayerMFS/LR/log.txt,99.71,98.5,99.3,97.67,98.49,2.33,100.0,2.33
./data/detection/run_2/cif10rn34/rn_34_0_10/pgd/LayerMFS/LR/log.txt,99.66,99.0,99.3,98.67,99.0,1.33,100.0,1.33
./data/detection/run_2/cif10rn34/rn_34_0_10/std/8_255/LayerMFS/LR/log.txt,100.0,99.83,100.0,99.67,99.83,0.33,100.0,0.33
./data/detection/run_2/cif10rn34/rn_34_0_10/df/LayerMFS/LR/log.txt,81.31,74.0,73.1,76.0,74.51,24.0,100.0,24.0
./data/detection/run_2/cif10rn34/rn_34_0_10/cw/LayerMFS/LR/log.txt,81.11,72.17,71.8,73.0,72.4,27.0,100.0,27.0
./data/detection/run_2/cif10rn34/rn_34_0_10/fgsm/LayerMFS/RF/log.txt,94.09,86.67,85.3,88.67,86.93,11.33,93.75,10.62
./data/detection/run_2/cif10rn34/rn_34_0_10/bim/LayerMFS/RF/log.txt,99.53,97.0,96.4,97.67,97.02,2.33,100.0,2.33
./data/detection/run_2/cif10rn34/rn_34_0_10/pgd/LayerMFS/RF/log.txt,99.61,96.67,95.2,98.33,96.72,1.67,100.0,1.67
./data/detection/run_2/cif10rn34/rn_34_0_10/std/8_255/LayerMFS/RF/log.txt,99.98,99.33,98.7,100.0,99.34,0.0,100.0,0.0
./data/detection/run_2/cif10rn34/rn_34_0_10/df/LayerMFS/RF/log.txt,83.76,79.17,72.7,93.33,81.75,6.67,100.0,6.67
./data/detection/run_2/cif10rn34/rn_34_0_10/cw/LayerMFS/RF/log.txt,84.58,79.17,73.3,91.67,81.48,8.33,100.0,8.33
