,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/celebaHQ32/wrn_28_10_4/fgsm/InputMFS/LR/log.txt,73.85,69.5,71.4,65.0,68.06,35.0,97.72,34.2
./data/detection/run_2/celebaHQ32/wrn_28_10_4/bim/InputMFS/LR/log.txt,74.42,68.17,67.1,71.33,69.14,28.67,100.0,28.67
./data/detection/run_2/celebaHQ32/wrn_28_10_4/pgd/InputMFS/LR/log.txt,68.98,65.0,64.0,68.67,66.24,31.33,99.93,31.31
./data/detection/run_2/celebaHQ32/wrn_28_10_4/std/8_255/InputMFS/LR/log.txt,78.21,72.67,72.5,73.0,72.76,27.0,100.0,27.0
./data/detection/run_2/celebaHQ32/wrn_28_10_4/df/InputMFS/LR/log.txt,54.46,52.67,52.6,54.0,53.29,46.0,100.0,46.0
./data/detection/run_2/celebaHQ32/wrn_28_10_4/cw/InputMFS/LR/log.txt,51.79,50.67,50.6,53.0,51.79,47.0,100.0,47.0
./data/detection/run_2/celebaHQ32/wrn_28_10_4/fgsm/InputMFS/RF/log.txt,74.24,68.0,66.3,73.33,69.62,26.67,97.72,26.06
./data/detection/run_2/celebaHQ32/wrn_28_10_4/bim/InputMFS/RF/log.txt,74.56,68.5,65.9,76.67,70.88,23.33,100.0,23.33
./data/detection/run_2/celebaHQ32/wrn_28_10_4/pgd/InputMFS/RF/log.txt,68.98,63.5,62.7,66.67,64.62,33.33,99.93,33.31
./data/detection/run_2/celebaHQ32/wrn_28_10_4/std/8_255/InputMFS/RF/log.txt,81.76,75.0,72.7,80.0,76.19,20.0,100.0,20.0
./data/detection/run_2/celebaHQ32/wrn_28_10_4/df/InputMFS/RF/log.txt,49.67,49.0,48.9,45.0,46.88,55.0,100.0,55.0
./data/detection/run_2/celebaHQ32/wrn_28_10_4/cw/InputMFS/RF/log.txt,50.3,50.0,50.0,52.33,51.14,47.67,100.0,47.67
./data/detection/run_2/celebaHQ32/wrn_28_10_4/fgsm/LayerMFS/LR/log.txt,94.89,87.5,87.9,87.0,87.44,13.0,97.72,12.7
./data/detection/run_2/celebaHQ32/wrn_28_10_4/bim/LayerMFS/LR/log.txt,94.1,86.5,84.8,89.0,86.83,11.0,100.0,11.0
./data/detection/run_2/celebaHQ32/wrn_28_10_4/pgd/LayerMFS/LR/log.txt,91.34,83.33,83.1,83.67,83.39,16.33,99.93,16.32
./data/detection/run_2/celebaHQ32/wrn_28_10_4/std/8_255/LayerMFS/LR/log.txt,95.96,89.33,89.9,88.67,89.26,11.33,100.0,11.33
./data/detection/run_2/celebaHQ32/wrn_28_10_4/df/LayerMFS/LR/log.txt,65.23,62.17,62.0,63.0,62.48,37.0,100.0,37.0
./data/detection/run_2/celebaHQ32/wrn_28_10_4/cw/LayerMFS/LR/log.txt,58.5,56.5,56.1,59.67,57.84,40.33,100.0,40.33
./data/detection/run_2/celebaHQ32/wrn_28_10_4/fgsm/LayerMFS/RF/log.txt,94.32,86.5,85.0,88.67,86.79,11.33,97.72,11.07
./data/detection/run_2/celebaHQ32/wrn_28_10_4/bim/LayerMFS/RF/log.txt,94.16,86.17,85.6,87.0,86.28,13.0,100.0,13.0
./data/detection/run_2/celebaHQ32/wrn_28_10_4/pgd/LayerMFS/RF/log.txt,91.68,83.17,82.4,84.33,83.36,15.67,99.93,15.66
./data/detection/run_2/celebaHQ32/wrn_28_10_4/std/8_255/LayerMFS/RF/log.txt,96.72,90.0,89.2,91.0,90.1,9.0,100.0,9.0
./data/detection/run_2/celebaHQ32/wrn_28_10_4/df/LayerMFS/RF/log.txt,62.74,60.5,61.0,58.33,59.63,41.67,100.0,41.67
./data/detection/run_2/celebaHQ32/wrn_28_10_4/cw/LayerMFS/RF/log.txt,52.96,52.0,52.0,51.33,51.68,48.67,100.0,48.67
